OBJECTID,workOrderID,Location Description,Manufacturer,Dispatcher,AssignmentType,Last Service Date,Longitude,Latitude,Priority,Status
1440,HY525263,HYDRANT,STANDARD IRON WORKS,1,2,,-117.171817,32.71343381,2,0
1441,HY525282,HYDRANT,SAN DIEGO PATTERN,1,2,,-117.1699159,32.7136696,2,0
1442,HY525283,HYDRANT,RICH,1,2,,-117.1690643,32.71369141,2,0
1443,HY525284,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1690646,32.71340453,2,0
1444,HY525285,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1690635,32.71469943,2,0
1445,HY525286,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1690628,32.71448402,2,0
1446,HY525287,HYDRANT,CLOW,1,2,,-117.1678036,32.7146961,2,0
1447,HY525310,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1663817,32.71474824,2,0
1448,HY525313,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.166378,32.71344754,2,0
1449,HY525314,HYDRANT,RICH,1,2,,-117.1654938,32.71346064,2,0
1450,HY525316,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1663806,32.71369867,2,0
1451,HY525338,HYDRANT,SAN DIEGO PATTERN,1,2,,-117.1707813,32.71349914,2,0
1452,HY525345,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1717498,32.71447427,2,0
1453,HY525349,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1721926,32.71266554,2,0
1454,HY525351,HYDRANT,JONES,1,2,,-117.1717213,32.71267696,2,0
1455,HY525355,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.170783,32.71245022,2,0
1456,HY525359,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1707114,32.71159388,2,0
1457,HY525362,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1690591,32.71161513,2,0
1458,HY525364,HYDRANT,CLOW,1,2,,-117.1684516,32.71081184,2,0
1459,HY525365,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1692352,32.70841334,2,0
1460,HY525366,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1692153,32.70931224,2,0
1461,HY525367,HYDRANT,RICH,1,2,,-117.1644861,32.70893273,2,0
1462,HY525368,HYDRANT,LONG BEACH IRON WORKS,1,2,,-117.1653547,32.70929457,2,0
1463,HY525369,HYDRANT,SAN DIEGO PATTERN,1,2,,-117.1659753,32.70973902,2,0
1464,HY525375,HYDRANT,STANDARD IRON WORKS,1,2,,-117.171352,32.71000233,2,0
1465,HY525377,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1670223,32.71022356,2,0
1466,HY525379,HYDRANT,JONES,1,2,,-117.1654879,32.71133058,2,0
1467,HY525380,HYDRANT,SAN DIEGO PATTERN,1,2,,-117.1654913,32.71165144,2,0
1468,HY525382,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1645575,32.71127016,2,0
1718,5636915,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1708407,32.71031594,2,0
1719,5637101,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1708113,32.711343,2,0
1720,5637120,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1719331,32.71131096,2,0
1721,5637131,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1731028,32.71243628,2,0
1722,5637178,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1712292,32.71167503,2,0
1723,5637255,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1728502,32.71334452,2,0
1724,5637276,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1730128,32.7133436,2,0
1725,5637318,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1733054,32.71403438,2,0
1726,5637907,HYDRANT,STANDARD IRON WORKS,1,2,,-117.1728092,32.71162563,2,0
1734,5686925,HYDRANT,CLOW,1,2,,-117.175151,32.71177072,2,0
1711,5615340,HYDRANT,CLOW,1,2,,-117.174253,32.712188,2,0
1730,5667167,HYDRANT,CLOW,1,2,,-117.1708462,32.71474852,2,0
1656,5041546,HYDRANT,CLOW,1,2,,-117.1703261,32.71350114,2,0
1482,525405,HYDRANT,CLOW,1,2,,-117.1701793,32.71243321,2,0
1657,5041837,HYDRANT,CLOW,1,2,,-117.1699162,32.71260859,2,0
1694,5549223,HYDRANT,CLOW,1,2,,-117.1690584,32.71272632,2,0
1478,525400,HYDRANT,CLOW,1,2,,-117.1690559,32.71214565,2,0
1733,5675824,HYDRANT,CLOW,1,2,,-117.1697578,32.71131933,2,0
1706,5584844,HYDRANT,CLOW,1,2,,-117.1685302,32.70936758,2,0
